名稱,地址,電話,備註
王小明,臺北市大安區愛國東路216號,0912345678,精確
陳美麗,臺北市信義區信義路五段7號,0922333444,精確
林大同,新北市板橋區文化路一段188號,0933555666,精確
黃小華,高雄市苓雅區四維三路2號,0977888999,精確
張三,臺中市西屯區臺灣大道三段99號,0911000222,精確
李四,臺南市東區大學路1號,0988777666,精確
趙五,桃園市桃園區中正路100號,0955666777,精確
周六,新竹市東區光復路二段101號,0933111222,精確
吳七,花蓮縣花蓮市中山路17號,0911222333,精確
鄭八,臺北市中山區南京東路二段100號,0922000111,精確
何九,新北市三重區重新路四段50號,0933000222,精確
許十,臺北市大安區敦化南路一段245號,0944000333,精確
蔡十一,高雄市左營區博愛二路777號,0955000444,精確
楊十二,臺中市北屯區崇德路二段200號,0966000555,精確
劉十三,彰化縣彰化市中山路一段1號,0977000666,精確
未知路,臺北市大安區某未知小路1號,0900111222,僅行政區
空白地址,,0900000000,空白地址
